sku,product,attribute_id,attribute,value_id,value,"default value"
001,"Classic business card",1,paper,822,chromo_matte_300,chromo_matte_300
001,"Classic business card",1,paper,823,chromo_glossy_300,chromo_matte_300
001,"Classic business card",1,paper,833,twill_250,chromo_matte_300
001,"Classic business card",1,paper,991,ecological,chromo_matte_300
001,"Classic business card",2,format,834,horizontal,horizontal
001,"Classic business card",2,format,835,vertical,horizontal
001,"Classic business card",2,format,929,square,horizontal
001,"Classic business card",4,colors,1400,print_color_colorful,print_color_colorful
001,"Classic business card",6,lamination,933,lamination_no,lamination_2sides_matte
001,"Classic business card",6,lamination,843,lamination_2sides_matte,lamination_2sides_matte
001,"Classic business card",6,lamination,845,lamination_2sides_glossy,lamination_2sides_matte
001,"Classic business card",6,lamination,1026,lamination_2sides_premium,lamination_2sides_matte
001,"Classic business card",7,round_corners,804,round_corners_yes,round_corners_yes
001,"Classic business card",7,round_corners,805,round_corners_no,round_corners_yes
001,"Classic business card",13,production_time,1134,industrial,budget
001,"Classic business card",13,production_time,754,budget,budget
001,"Classic business card",13,production_time,755,standard,budget
001,"Classic business card",13,production_time,756,express,budget
001,"Classic business card",14,size,836,business_card_85x55,business_card_90x50
001,"Classic business card",14,size,837,business_card_90x50,business_card_90x50
001,"Classic business card",14,size,990,business_card_65x65,business_card_90x50
001,"Classic business card",30,fix_it,1131,fix_it_no,fix_it_no
001,"Classic business card",30,fix_it,1130,fix_it_yes,fix_it_no
001,"Classic business card",33,printed_side,1398,printed_side_simplex,printed_side_simplex
001,"Classic business card",33,printed_side,1399,printed_side_duplex,printed_side_simplex
002,Letterhead,1,paper,820,woodfree_80,woodfree_80
002,Letterhead,2,format,835,vertical,vertical
002,Letterhead,4,colors,1400,print_color_colorful,print_color_colorful
002,Letterhead,13,production_time,1134,industrial,budget
002,Letterhead,13,production_time,754,budget,budget
002,Letterhead,13,production_time,755,standard,budget
002,Letterhead,13,production_time,756,express,budget
002,Letterhead,14,size,931,a4_hor_with_bleed,a4_hor_with_bleed
002,Letterhead,30,fix_it,1131,fix_it_no,fix_it_no
002,Letterhead,30,fix_it,1130,fix_it_yes,fix_it_no
002,Letterhead,33,printed_side,1398,printed_side_simplex,printed_side_simplex
002,Letterhead,33,printed_side,1399,printed_side_duplex,printed_side_simplex
003,Envelope,4,colors,1400,print_color_colorful,print_color_colorful
003,Envelope,13,production_time,1134,industrial,budget
003,Envelope,13,production_time,754,budget,budget
003,Envelope,13,production_time,755,standard,budget
003,Envelope,13,production_time,756,express,budget
003,Envelope,14,size,760,envelope_11x23,envelope_11x23
003,Envelope,14,size,761,envelope_16x23_7,envelope_11x23
003,Envelope,14,size,875,envelope_23x33_5,envelope_11x23
003,Envelope,30,fix_it,1131,fix_it_no,fix_it_no
003,Envelope,30,fix_it,1130,fix_it_yes,fix_it_no
004,"Envelope with window",4,colors,1400,print_color_colorful,print_color_colorful
004,"Envelope with window",13,production_time,1134,industrial,budget
004,"Envelope with window",13,production_time,754,budget,budget
004,"Envelope with window",13,production_time,755,standard,budget
004,"Envelope with window",13,production_time,756,express,budget
004,"Envelope with window",14,size,760,envelope_11x23,envelope_11x23
004,"Envelope with window",14,size,761,envelope_16x23_7,envelope_11x23
004,"Envelope with window",30,fix_it,1131,fix_it_no,fix_it_no
004,"Envelope with window",30,fix_it,1130,fix_it_yes,fix_it_no
005,Pen,4,colors,794,print_color_black,print_color_black
005,Pen,4,colors,796,print_color_white,print_color_black
005,Pen,4,colors,795,print_color_silver,print_color_black
005,Pen,13,production_time,1134,industrial,budget
005,Pen,13,production_time,754,budget,budget
005,Pen,14,size,992,pen_45x10,pen_45x10
005,Pen,15,product_color,808,pen_blue,pen_blue
005,Pen,15,product_color,809,pen_red,pen_blue
005,Pen,15,product_color,810,pen_green,pen_blue
005,Pen,15,product_color,862,pen_orange,pen_blue
005,Pen,15,product_color,863,pen_pink,pen_blue
005,Pen,15,product_color,864,pen_purple,pen_blue
005,Pen,15,product_color,865,pen_sky_blue,pen_blue
005,Pen,15,product_color,866,pen_lime,pen_blue
005,Pen,15,product_color,867,pen_yellow,pen_blue
005,Pen,15,product_color,886,pen_black,pen_blue
005,Pen,15,product_color,887,pen_white,pen_blue
005,Pen,30,fix_it,1131,fix_it_no,fix_it_no
005,Pen,30,fix_it,1130,fix_it_yes,fix_it_no
006,"Paper poster",1,paper,923,poster_170,poster_170
006,"Paper poster",2,format,834,horizontal,horizontal
006,"Paper poster",2,format,835,vertical,horizontal
006,"Paper poster",4,colors,1400,print_color_colorful,print_color_colorful
006,"Paper poster",13,production_time,1134,industrial,budget
006,"Paper poster",13,production_time,754,budget,budget
006,"Paper poster",13,production_time,755,standard,budget
006,"Paper poster",13,production_time,756,express,budget
006,"Paper poster",14,size,941,poster_a4,poster_a4
006,"Paper poster",14,size,942,poster_a3,poster_a4
006,"Paper poster",14,size,839,poster_70_50,poster_a4
006,"Paper poster",14,size,840,poster_80_60,poster_a4
006,"Paper poster",14,size,838,poster_100_70,poster_a4
006,"Paper poster",30,fix_it,1131,fix_it_no,fix_it_no
006,"Paper poster",30,fix_it,1130,fix_it_yes,fix_it_no
007,"Print on Kappa",1,paper,847,kappa_10,kappa_10
007,"Print on Kappa",2,format,834,horizontal,horizontal
007,"Print on Kappa",2,format,835,vertical,horizontal
007,"Print on Kappa",2,format,929,square,horizontal
007,"Print on Kappa",4,colors,1400,print_color_colorful,print_color_colorful
007,"Print on Kappa",13,production_time,1134,industrial,budget
007,"Print on Kappa",13,production_time,754,budget,budget
007,"Print on Kappa",13,production_time,755,standard,budget
007,"Print on Kappa",13,production_time,756,express,budget
007,"Print on Kappa",14,size,1366,kappa_poster_a4,kappa_poster_a4
007,"Print on Kappa",14,size,1367,kappa_poster_a3,kappa_poster_a4
007,"Print on Kappa",14,size,1368,kappa_poster_50x70,kappa_poster_a4
007,"Print on Kappa",14,size,1369,kappa_poster_60x80,kappa_poster_a4
007,"Print on Kappa",14,size,1370,kappa_poster_70x100,kappa_poster_a4
007,"Print on Kappa",14,size,1371,kappa_poater_30x30,kappa_poster_a4
007,"Print on Kappa",14,size,1372,kappa_poster_40x40,kappa_poster_a4
