"Page option ID","Page option code","Hebrew Name","value code","Hebrew Name"
1,"paper "," סוג נייר","paper_none","No paper"
1,"paper "," סוג נייר","woodfree_80","נייר נטול עץ 80 גרם"
1,"paper "," סוג נייר","recycled_80","נייר ממוחזר 80 גרם"
1,"paper "," סוג נייר","chromo_matte_300","נייר כרומו מט 300 גרם"
1,"paper "," סוג נייר","chromo_glossy_300","נייר כרומו מבריק 300 גרם"
1,"paper "," סוג נייר","chromo_matte_220","נייר כרומו מט 220 גרם"
1,"paper "," סוג נייר","chromo_glossy_220","נייר כרומו מבריק 220 גרם"
1,"paper "," סוג נייר","chromo_matte_170","נייר כרומו מט 170 גרם"
1,"paper "," סוג נייר","chromo_glossy_170","נייר כרומו מבריק 170 גרם"
1,"paper "," סוג נייר","chromo_matte_135","נייר כרומו מט 135 גרם"
1,"paper "," סוג נייר","chromo_glossy_135","נייר כרומו מבריק 135 גרם"
1,"paper "," סוג נייר","chromo_matte_90","Chromo matte 90g"
1,"paper "," סוג נייר","chromo_glossy_90","Chromo glossy 90g"
1,"paper "," סוג נייר","biacno_300","נייר ביאנקו 300 גרם"
1,"paper "," סוג נייר","twill_250","נייר עם טקסטורה 250 גרם"
1,"paper "," סוג נייר","kappa_5","קאפה 5 מ""מ"
1,"paper "," סוג נייר","kappa_10","קאפה 10 מ""מ"
1,"paper "," סוג נייר","poster_170","Poster paper 170g"
1,"paper "," סוג נייר","ecological","נייר אקולוגי 350 גרם"
1,"paper "," סוג נייר","chromo_matte_350","נייר כרומו מט 350 גרם"
1,"paper "," סוג נייר","felix_schoeller_220g","felix schoeller 260g"
1,"paper "," סוג נייר","majestic_white_300","נייר פנינה"
1,"paper "," סוג נייר","majestic_cream_300","נייר פנינה קרם"
1,"paper "," סוג נייר","sticker_polypropylene","sticker_pp"
1,"paper "," סוג נייר","sticker_paper","sticker_paper"
1,"paper "," סוג נייר","chromo_matte_250g","chromo matte 250g"
2,"format "," פורמט","front_small","כיס קדמי"
2,"format "," פורמט","format_none","No format"
2,"format "," פורמט","horizontal","שוכב"
2,"format "," פורמט","vertical","עומד"
2,"format "," פורמט","front_big","קדמי מלא"
2,"format "," פורמט","front_small_back","כיס קדמי + אחורי מלא"
2,"format "," פורמט","front_big_back","קדמי מלא + אחורי מלא"
2,"format "," פורמט","back","אחורי מלא"
2,"format "," פורמט","square","ריבועי"
2,"format "," פורמט","circle","עיגול"
2,"format "," פורמט","square_round_corners","ריבוע עם פינות עגולות"
2,"format "," פורמט","right","הדפסה בצד ימין"
2,"format "," פורמט","left","הדפסה בצד שמאל"
2,"format "," פורמט","middle","הדפסה באמצע"
2,"format "," פורמט","roll_sticker_circle","עיגול"
2,"format "," פורמט","roll_sticker_rectangle","מלבן"
2,"format "," פורמט","roll_sticker_ellipse","אליפסה"
2,"format "," פורמט","roll_sticker_square","ריבוע"
2,"format "," פורמט","roll_sticker_hexagon","משושה"
2,"format "," פורמט","roll_sticker_label","תגית"
2,"format "," פורמט","star","שמש"
3,"pages "," עמודים","pages_none","No pages"
3,"pages "," עמודים","calendar_14","14 pages"
3,"pages "," עמודים","notebook_pages_40","40 דפים"
3,"pages "," עמודים","notebook_pages_64","64 דפים"
3,"pages "," עמודים","notebook_pages_80","80 דפים"
3,"pages "," עמודים","notebook_spiral_pages_40","40 דפים"
3,"pages "," עמודים","notebook_spiral_pages_80","80 דפים"
3,"pages "," עמודים","notebook_pages_8","8 pages"
3,"pages "," עמודים","notebook_pages_16","16 דפים"
3,"pages "," עמודים","notebook_pages_24","24 דפים"
3,"pages "," עמודים","notebook_pages_32","32 דפים"
3,"pages "," עמודים","notebook_pages_48","48 pages"
3,"pages "," עמודים","notebook_pages_56","56 pages"
3,"pages "," עמודים","seiten_12","12 דפים"
3,"pages "," עמודים","seiten_20","20 דפים"
3,"pages "," עמודים","seiten_28","28 דפים"
3,"pages "," עמודים","seiten_36","36 דפים"
3,"pages "," עמודים","seiten_44","44 דפים"
3,"pages "," עמודים","booklets_12","12 עמודים"
3,"pages "," עמודים","booklets_16","16 עמודים"
3,"pages "," עמודים","booklets_20","20 עמודים"
3,"pages "," עמודים","booklets_24","24 עמודים"
3,"pages "," עמודים","booklets_28","28 עמודים"
3,"pages "," עמודים","booklets_32","32 עמודים"
3,"pages "," עמודים","booklets_36","36 עמודים"
3,"pages "," עמודים","booklets_40","40 עמודים"
3,"pages "," עמודים","booklets_44","44 עמודים"
4,"colors "," צבעי הדפסה","print_40","צבעוני בחזית, ללא גב"
4,"colors "," צבעי הדפסה","print_41","4/1-colored Euroscale"
4,"colors "," צבעי הדפסה","print_44","צבעוני בשני הצדדים"
4,"colors "," צבעי הדפסה","print_10","שחור לבן בחזית, ללא גב"
