sku,product,SFProduct,Implemented
001,Classic business card,Business Card,1
002,Letterhead,,
003,Envelope,Business Card,1
004,Envelope with window,Business Card,1
005,Pen,,
006,Paper poster,,
007,Print on Kappa,,
008,Print on Alucobond,,
009,Print on Perspex,,
010,Print on PVC,,
011,Print on Cardboard,,
012,T Shirt Round Neck,,
013,T Shirt V Neck,,
014,Sweatshirt,,
015,Roll Up,,
016,Postcard,,
017,Folded postcard,,
018,Memo block,,
019,Planner,,
020,Candy box,,
021,Folder,,
022,Flyer,,
023,Folded Flyer - 1 fold,,
024,Folded Flyer - 2 folds,,
025,Beer mat,,
026,Door hanger,,
027,Stickers,,
028,Print on Canvas,,
029,Placemat,,
030,Wall spiral calendar,,
031,Bath towel,,
032,Poster calendar,,
033,Desk calendar,,
034,Hat,,
035,Work pants,,
036,Banner,,
037,Magnet,,
038,Dryfit shirt,,
039,Reusable bag,,
040,Writing block,,
041,Notebook glue,,
042,Notebook pin,,
043,Notebook spiral,Business Card,1
044,Nylon bag,,
045,Mug,,
046,Neck pillow,,
047,Headphones,,
048,Cellphone sticky pocket,,
049,Metal pen,,
050,Decorated pen,,
051,Work tag,,
052,Backpack,,
053,Notebook hardcover,,
054,Pocket mirror,,
055,Bottle opener,,
056,Sport towel,,
057,Steel bottle,,
058,Plastic bottle,,
059,Plastic straw cup,,
060,Thermal mug,,
061,Reflective ruler,,
062,Passport cover,,
063,Luggage tag,,
064,USB stick,,
065,paper cup,,
066,tank shirt,,
067,american shirt,,
068,polo shirt,,
069,kids shirt,,
070,baseball cap,,
071,trucker cap,,
072,reflective vest,,
073,bucket hat,,
074,beach towel,,
075,hand fan,,
076,Matkot,,
077,beach tent,,
078,frisbee,,
079,silicon ring bottle,,
080,plastic bubble cup,,
081,led desk lamp,,
082,cellphone battery,,
083,neck fan,,
084,personal cooler,,
085,bath speaker,,
086,keychain led light,,
087,large backpack,,
088,memo holder,,
089,velvet pen,,
090,shape cut,,
091,plotter cutting,,
092,vinyl letters,,
093,car sticker,,
094,scodix business card,,
095,wine bottle,,
096,hardcover printed notebook,,
097,postcard_greeting_card,,
098,brochure,,
099,brochure_fold,,
100,Gift Business card,,
101,hoodie,,
102,long sleeve shirt,,
103,softshell jacket,,
104,coasters,,
105,cotton string backpack,,
106,Cotton bag,,
107,shopping bag,,
108," premium steel bottle",,
109,Personal fitness kit,,
110,premium plastic bottle,,
111,Kitchen apron,,
112,Bathrobe,,
113,bluetooth headphones,,
114,Conference tag,,
115,Wireless Headphones,,
116,Special business cards trio,,
117,event invitations,,
118,family_package,,
119,kids_package,,
120,magnet_package,,
121,bundle_package,,
122,covid19 stickers,,
123,covid19 shirts,,
124,Alcogel,,
125,Floor stickers,,
126,Covid19 kappa,,
127,Covid19 poster,,
128,Covid19 rollup,,
129,paper bag,,
130,Mask,,
131,covid19_alocobond,,
132,menu,,
133,Bonus Business card,,
134,branded candies,,
135,biscuit,,
136,pyramids with chocolate,,
137,candy in metal box,,
138,candy in personalized box,,
139,keychain with candies,,
140,can filled with candy,,
141,can filled with Nuts,,
142,cylinder with Mantus,,
143,candy roll,,
144,diary,,
145,roll sticker,,
146,stamp,,
147,hammock,,
148,microfiber towel,,
149,food cooler,,
150,cooler bag,,
151,folding cooler,,
152,Checks,,
153,tax invoice,,
154,receipt tax invoice,,
155,exempt dealer Receipts,,
156,transaction invoice,,
157,"receipts ",,
158,work orders,,
159,shipping documents,,
160,order form,,
161,package,,
162,notebook_spiral_hardcover,,
163,booklets,,
164,Folder with printed pocket,,
999,Offline,,
165,balloon,,
166,chocolate_coins,,
167,umbrella,,
168,instawall_kappa,,
169,blanket,,
170,zipper_hoodie,,
171,neck_gaiter,,
172,wool_cap,,
173,wireless charging stand,,
174,phone and tablet stand,,
175,Album printing,,
176,printing pictures,,
177,Calendar,,
178,#instawall,,
179,albumix,,
